code,cashprice,startdate
900935.SZ,1.63,2015/6/18
600649.SH,10,2015/6/18
600019.SH,4.6,2016/9/22
600005.SH,2.58,2016/9/22
600246.SH,5.49,2016/11/2
002408.SZ,6.48,2016/11/14
000062.SZ,25.27,2016/11/20
600069.SZ,8.68,2016/11/11
600418.SH,10.12,2014/7/13
600719.SH,7.07,2013/5/21
200002,13.13,2013/1/9
200039,9.83,2012/11/19
200012,6.42,2015/4/24
000748.SZ,24.09,2016/3/15
000066.SZ,13.04,2016/3/15
000792.SZ,25.46,2009/8/12
600253.SH,6.39,2012/11/30
600704.SH,9.84,2015/4/22
600985.SH,13.06,2012/10/25
