date,open,high,low,close,dealnum,volume
2010/11/8,1.049,1.069,1.028,1.063,19.75,18821200
2010/11/9,1.068,1.096,1.058,1.078,23.97,22203700
2010/11/10,1.079,1.079,1.045,1.069,24.19,22873700
2010/11/11,1.052,1.081,1.052,1.052,22.8,21382000
2010/11/12,1.037,1.043,0.947,0.947,52.14,52708300
2010/11/15,0.947,0.958,0.921,0.94,12.8,13640800
2010/11/16,0.923,0.938,0.856,0.861,17.19,19251100
2010/11/17,0.849,0.882,0.83,0.85,32.92,38353700
2010/11/18,0.861,0.877,0.848,0.871,19.31,22338300
2010/11/19,0.872,0.887,0.833,0.887,18.19,21209000
2010/11/22,0.869,0.89,0.859,0.88,20.82,23887300
2010/11/23,0.865,0.865,0.83,0.848,17.1,20241000
2010/11/24,0.845,0.888,0.842,0.888,23.09,26542900
2010/11/25,0.89,0.901,0.874,0.897,18.45,20740900
2010/11/26,0.889,0.912,0.878,0.888,13,14621600
2010/11/29,0.873,0.89,0.869,0.88,11.38,12961700
2010/11/30,0.87,0.883,0.831,0.858,20.34,23781200
2010/12/1,0.851,0.868,0.845,0.852,7.2,8399200
2010/12/2,0.869,0.888,0.86,0.872,22.02,25110000
2010/12/3,0.869,0.879,0.862,0.864,12.41,14266600
2010/12/6,0.865,0.876,0.86,0.874,11.41,13124600
2010/12/7,0.866,0.902,0.851,0.895,16.5,18880800
2010/12/8,0.883,0.91,0.882,0.89,18.19,20223500
2010/12/9,0.876,0.89,0.863,0.863,10.85,12386300
2010/12/10,0.862,0.891,0.851,0.885,18.34,21069800
2010/12/13,0.885,0.956,0.881,0.956,35.49,38978600
2010/12/14,0.959,1.03,0.949,0.98,64.56,65789300
2010/12/15,0.978,0.984,0.955,0.959,29.08,30027200
2010/12/16,0.958,0.974,0.95,0.956,22.33,23247000
2010/12/17,0.953,0.953,0.933,0.944,47.41,50388400
2010/12/20,0.942,0.955,0.902,0.929,39.17,42322600
2010/12/21,0.929,0.976,0.923,0.968,46.45,48777400
2010/12/22,0.97,0.987,0.945,0.952,33.37,34457400
2010/12/23,0.951,0.98,0.94,0.953,35.98,37484000
2010/12/24,0.938,0.962,0.931,0.946,36.19,38265300
2010/12/27,0.96,0.985,0.917,0.919,57.49,59779900
2010/12/28,0.909,0.927,0.905,0.909,36.13,39432600
2010/12/29,0.915,0.919,0.903,0.914,20.19,22184100
2010/12/30,0.912,0.912,0.878,0.894,41.46,46438700
2010/12/31,0.89,0.92,0.89,0.92,40.48,44858500
2011/1/4,0.928,0.946,0.914,0.938,40.12,43215400
2011/1/5,0.931,0.935,0.92,0.921,22.65,24494400
2011/1/6,0.919,0.931,0.912,0.912,16.46,17921800
2011/1/7,0.914,0.949,0.908,0.922,58.1,62340100
2011/1/10,0.922,0.933,0.898,0.9,27.83,30413400
2011/1/11,0.899,0.91,0.89,0.908,13.49,14952600
2011/1/12,0.912,0.919,0.897,0.915,16.26,17900100
2011/1/13,0.92,0.924,0.908,0.912,12.65,13849100
2011/1/14,0.905,0.908,0.889,0.89,17.24,19229600
2011/1/17,0.882,0.884,0.842,0.848,25.42,29535500
2011/1/18,0.846,0.855,0.84,0.85,7.42,8757100
2011/1/19,0.846,0.88,0.846,0.875,19.19,22227200
2011/1/20,0.873,0.875,0.826,0.826,24.06,28546100
2011/1/21,0.827,0.856,0.823,0.838,19.85,23654000
2011/1/24,0.834,0.839,0.8,0.806,27.3,33450800
2011/1/25,0.805,0.815,0.796,0.809,15.43,19069900
2011/1/26,0.809,0.83,0.808,0.825,11.3,13762400
2011/1/27,0.817,0.845,0.809,0.841,17.3,20814100
2011/1/28,0.836,0.847,0.834,0.843,11.19,13321500
2011/1/31,0.848,0.854,0.838,0.847,11.59,13712000
2011/2/1,0.847,0.851,0.838,0.841,8.05,9561500
2011/2/9,0.835,0.843,0.817,0.818,11.37,13709900
2011/2/10,0.815,0.872,0.815,0.872,25.2,29877000
2011/2/11,0.869,0.888,0.861,0.88,30.81,35171400
2011/2/14,0.883,0.947,0.883,0.942,69.24,74893900
2011/2/15,0.945,0.965,0.94,0.94,47.04,49475400
2011/2/16,0.937,0.958,0.931,0.955,35.31,37325600
2011/2/17,0.955,0.961,0.933,0.949,36.98,38995400
2011/2/18,0.944,0.944,0.921,0.932,20.54,22000300
2011/2/21,0.926,0.975,0.926,0.975,41.06,43180000
2011/2/22,0.975,0.978,0.921,0.928,62.16,66236300
2011/2/23,0.924,0.939,0.922,0.932,23.16,24885200
2011/2/24,0.929,0.941,0.919,0.93,18.59,19997800
2011/2/25,0.926,0.943,0.918,0.934,21.11,22650600
2011/2/28,0.934,0.968,0.928,0.965,34.58,36368400
2011/3/1,0.965,0.998,0.961,0.988,56.44,57476400
2011/3/2,0.976,0.984,0.949,0.983,41.88,43181700
2011/3/3,0.982,0.996,0.964,0.964,34.38,34952500
2011/3/4,0.965,0.994,0.96,0.993,33.77,34540000
2011/3/7,1,1.029,1,1.024,48.33,47468800
2011/3/8,1.02,1.032,1.015,1.027,31.96,31247700
2011/3/9,1.035,1.04,1.018,1.033,36.2,35104000
2011/3/10,1.022,1.022,0.998,0.998,35.24,34942800
2011/3/11,0.994,1.008,0.955,0.972,48.18,49045800
2011/3/14,0.97,0.986,0.961,0.986,32.93,33769900
2011/3/15,0.978,0.978,0.944,0.966,43.31,45220300
2011/3/16,0.965,0.991,0.965,0.99,38.72,39432700
2011/3/17,0.974,0.98,0.955,0.966,39.1,40427900
2011/3/18,0.977,0.986,0.969,0.977,18.97,19409500
2011/3/21,0.978,0.984,0.965,0.966,21.95,22556300
2011/3/22,0.971,0.973,0.952,0.971,16.44,17037000
2011/3/23,0.967,0.992,0.966,0.985,35.64,36265300
2011/3/24,0.98,0.987,0.97,0.972,23.41,23926800
2011/3/25,0.971,1,0.971,0.994,57.17,57829700
2011/3/28,0.995,1.01,0.981,0.985,36.36,36524300
2011/3/29,0.98,0.989,0.954,0.958,47.07,48541800
2011/3/30,0.956,0.965,0.948,0.955,20.14,21061900
2011/3/31,0.962,0.962,0.934,0.94,23.6,24983800
2011/4/1,0.94,0.956,0.936,0.955,18.19,19199400
2011/4/6,0.951,0.962,0.946,0.956,21.65,22667300
2011/4/7,0.957,0.962,0.948,0.957,39.17,41063200
2011/4/8,0.953,0.971,0.95,0.97,37.31,38720400
2011/4/11,0.969,0.975,0.954,0.955,40.6,41943300
2011/4/12,0.95,0.97,0.949,0.959,31.8,33174900
2011/4/13,0.957,0.974,0.944,0.974,29.13,30430400
2011/4/14,0.971,0.975,0.959,0.961,18.76,19413500
2011/4/15,0.958,0.969,0.945,0.956,17.74,18565000
2011/4/18,0.949,0.956,0.945,0.948,16,16847600
2011/4/19,0.941,0.942,0.922,0.925,27.87,29951500
2011/4/20,0.927,0.933,0.925,0.928,14.06,15147800
2011/4/21,0.931,0.94,0.93,0.935,13.23,14155100
2011/4/22,0.935,0.936,0.926,0.929,10.86,11680700
2011/4/25,0.928,0.929,0.902,0.905,23.19,25456200
2011/4/26,0.903,0.904,0.889,0.896,10.89,12158000
2011/4/27,0.9,0.905,0.885,0.892,12.64,14108500
2011/4/28,0.895,0.898,0.875,0.877,15.64,17644800
2011/4/29,0.876,0.889,0.876,0.888,13.9,15738600
2011/5/3,0.885,0.886,0.879,0.886,11.37,12867200
2011/5/4,0.883,0.883,0.852,0.855,14.37,16578900
2011/5/5,0.851,0.859,0.843,0.853,9.82,11522800
2011/5/6,0.848,0.859,0.842,0.854,10.35,12185400
2011/5/9,0.854,0.865,0.854,0.859,7.68,8928200
2011/5/10,0.861,0.865,0.855,0.865,6.73,7810000
2011/5/11,0.866,0.868,0.854,0.86,6.99,8098500
2011/5/12,0.855,0.861,0.846,0.853,11.53,13483200
