,date,open,high,low,close,cje,volume,change,code,position,short_window,long_window,s-l,a50
0,2014/12/2,0.44,0.505,0.436,0.505,293.18,616563800,,strategy3data,0,0.3952,0.3705,0.0247,8915
1,2014/12/3,0.51,0.555,0.5,0.549,485.56,909915700,,strategy3data,0,0.4161,0.376733333,0.039366667,8975
2,2014/12/4,0.549,0.604,0.52,0.604,497.47,875965900,,strategy3data,0,0.4428,0.384966667,0.057833333,9630
3,2014/12/5,0.626,0.658,0.566,0.626,628.97,1011764800,,strategy3data,0,0.471,0.394,0.077,9565
4,2014/12/8,0.59,0.65,0.58,0.61,468.68,764030200,,strategy3data,0,0.4951,0.402666667,0.092433333,10125
5,2014/12/9,0.588,0.598,0.549,0.549,358.69,629452700,,strategy3data,0,0.513,0.409066667,0.103933333,9435
6,2014/12/10,0.506,0.549,0.494,0.533,307.14,596674300,,strategy3data,0,0.5292,0.414766667,0.114433333,9830
7,2014/12/11,0.517,0.539,0.503,0.507,226.32,436032200,,strategy3data,0,0.5391,0.4196,0.1195,9580
8,2014/12/12,0.508,0.522,0.502,0.509,121.39,236984400,,strategy3data,0,0.5451,0.4243,0.1208,9590
9,2014/12/15,0.503,0.505,0.47,0.5,148.65,302977300,,strategy3data,0,0.5492,0.4287,0.1205,9685
10,2014/12/16,0.496,0.528,0.493,0.525,181.88,354195700,,strategy3data,0,0.5512,0.4341,0.1171,10075
11,2014/12/17,0.528,0.536,0.517,0.534,240.11,454580200,,strategy3data,0,0.5497,0.439866667,0.109833333,10505
12,2014/12/18,0.531,0.537,0.521,0.523,121.43,229098200,,strategy3data,0,0.5416,0.445366667,0.096233333,10495
13,2014/12/19,0.52,0.524,0.495,0.517,96.63,188602800,,strategy3data,0,0.5307,0.450733333,0.079966667,10600
14,2014/12/22,0.517,0.532,0.499,0.517,120.15,232868800,,strategy3data,0,0.5214,0.455766667,0.065633333,10865
15,2014/12/23,0.507,0.528,0.505,0.51,117.34,226457500,,strategy3data,0,0.5175,0.460766667,0.056733333,10425
16,2014/12/24,0.507,0.515,0.491,0.495,102.97,205768900,,strategy3data,0,0.5137,0.465166667,0.048533333,10030
17,2014/12/25,0.497,0.51,0.489,0.506,77.09,153788400,,strategy3data,0,0.5136,0.4702,0.0434,10460
18,2014/12/26,0.505,0.557,0.504,0.557,188.21,355484400,,strategy3data,0,0.5184,0.4771,0.0413,10960
19,2014/12/29,0.575,0.597,0.55,0.559,209.67,362838800,,strategy3data,0,0.5243,0.484133333,0.040166667,10990
20,2014/12/30,0.56,0.566,0.545,0.55,132.23,237078900,,strategy3data,0,0.5268,0.491066667,0.035733333,11245
21,2014/12/31,0.547,0.584,0.547,0.582,123.21,217293300,,strategy3data,0,0.5316,0.499133333,0.032466667,11650
22,2015/1/5,0.591,0.64,0.581,0.64,317.78,524494300,,strategy3data,0,0.5433,0.509233333,0.034066667,11785
23,2015/1/6,0.64,0.676,0.62,0.657,316.4,484807400,,strategy3data,0,0.5573,0.519666667,0.037633333,11782.5
24,2015/1/7,0.648,0.656,0.62,0.635,203.16,318214200,,strategy3data,0,0.5691,0.528533333,0.040566667,11785
25,2015/1/8,0.63,0.635,0.59,0.611,156.21,254504500,,strategy3data,0,0.5792,0.536566667,0.042633333,11342.5
