date,open,high,low,close,dealnum,volume,change,code,position,short_window,long_window,s-l,order,quantity,portfolio
2010/11/8,1.049,1.069,1.028,1.063,19.75,18821200,,teststra33,0,,,,0,0,0
2010/11/9,1.068,1.096,1.058,1.078,23.97,22203700,0.014111007,teststra33,0,,,,0,0,0
2010/11/10,1.079,1.079,1.045,1.069,24.19,22873700,-0.008348794,teststra33,0,,,,0,0,0
2010/11/11,1.052,1.081,1.052,1.052,22.8,21382000,-0.015902713,teststra33,0,,,,0,0,0
2010/11/12,1.037,1.043,0.947,0.947,52.14,52708300,-0.099809886,teststra33,0,,,,0,0,0
2010/11/15,0.947,0.958,0.921,0.94,12.8,13640800,-0.007391763,teststra33,0,,,,0,0,0
2010/11/16,0.923,0.938,0.856,0.861,17.19,19251100,-0.084042553,teststra33,0,,,,0,0,0
2010/11/17,0.849,0.882,0.83,0.85,32.92,38353700,-0.012775842,teststra33,0,,,,0,0,0
2010/11/18,0.861,0.877,0.848,0.871,19.31,22338300,0.024705882,teststra33,0,,,,0,0,0
2010/11/19,0.872,0.887,0.833,0.887,18.19,21209000,0.01836969,teststra33,0,0.9618,,,0,0,0
2010/11/22,0.869,0.89,0.859,0.88,20.82,23887300,-0.00789177,teststra33,0,0.9435,,,0,0,0
2010/11/23,0.865,0.865,0.83,0.848,17.1,20241000,-0.036363636,teststra33,0,0.9205,,,0,0,0
2010/11/24,0.845,0.888,0.842,0.888,23.09,26542900,0.047169811,teststra33,0,0.9024,,,0,0,0
2010/11/25,0.89,0.901,0.874,0.897,18.45,20740900,0.010135135,teststra33,0,0.8869,,,0,0,0
2010/11/26,0.889,0.912,0.878,0.888,13,14621600,-0.010033445,teststra33,0,0.881,,,0,0,0
2010/11/29,0.873,0.89,0.869,0.88,11.38,12961700,-0.009009009,teststra33,0,0.875,,,0,0,0
2010/11/30,0.87,0.883,0.831,0.858,20.34,23781200,-0.025,teststra33,0,0.8747,,,0,0,0
2010/12/1,0.851,0.868,0.845,0.852,7.2,8399200,-0.006993007,teststra33,0,0.8749,,,0,0,0
2010/12/2,0.869,0.888,0.86,0.872,22.02,25110000,0.023474178,teststra33,0,0.875,,,0,0,0
2010/12/3,0.869,0.879,0.862,0.864,12.41,14266600,-0.009174312,teststra33,0,0.8727,,,0,0,0
2010/12/6,0.865,0.876,0.86,0.874,11.41,13124600,0.011574074,teststra33,0,0.8721,,,0,0,0
2010/12/7,0.866,0.902,0.851,0.895,16.5,18880800,0.02402746,teststra33,0,0.8768,,,0,0,0
2010/12/8,0.883,0.91,0.882,0.89,18.19,20223500,-0.005586592,teststra33,0,0.877,,,0,0,0
2010/12/9,0.876,0.89,0.863,0.863,10.85,12386300,-0.030337079,teststra33,0,0.8736,,,0,0,0
2010/12/10,0.862,0.891,0.851,0.885,18.34,21069800,0.025492468,teststra33,0,0.8733,,,0,0,0
2010/12/13,0.885,0.956,0.881,0.956,35.49,38978600,0.080225989,teststra33,0,0.8809,,,0,0,0
2010/12/14,0.959,1.03,0.949,0.98,64.56,65789300,0.025104603,teststra33,0,0.8931,,,0,0,0
2010/12/15,0.978,0.984,0.955,0.959,29.08,30027200,-0.021428571,teststra33,0,0.9038,,,0,0,0
2010/12/16,0.958,0.974,0.95,0.956,22.33,23247000,-0.003128259,teststra33,0,0.9122,,,0,0,0
2010/12/17,0.953,0.953,0.933,0.944,47.41,50388400,-0.012552301,teststra33,0,0.9202,0.918233333,0.001966667,0,0,0
2010/12/20,0.942,0.955,0.902,0.929,39.17,42322600,-0.015889831,teststra33,0,0.9257,0.913766667,0.001966667,0,0,0
2010/12/21,0.929,0.976,0.923,0.968,46.45,48777400,0.041980624,teststra33,0,0.933,0.9101,0.001966667,0,0,0
2010/12/22,0.97,0.987,0.945,0.952,33.37,34457400,-0.016528926,teststra33,0,0.9392,0.9062,0.001966667,0,0,0
2010/12/23,0.951,0.98,0.94,0.953,35.98,37484000,0.00105042,teststra33,0,0.9482,0.9029,0.001966667,0,0,0
2010/12/24,0.938,0.962,0.931,0.946,36.19,38265300,-0.007345226,teststra33,0,0.9543,0.902866667,0.001966667,0,0,0
2010/12/27,0.96,0.985,0.917,0.919,57.49,59779900,-0.028541226,teststra33,0,0.9506,0.902166667,0.001966667,0,0,0
2010/12/28,0.909,0.927,0.905,0.909,36.13,39432600,-0.010881393,teststra33,0,0.9435,0.903766667,0.001966667,0,0,0
2010/12/29,0.915,0.919,0.903,0.914,20.19,22184100,0.00550055,teststra33,0,0.939,0.9059,0.001966667,0,0,0
2010/12/30,0.912,0.912,0.878,0.894,41.46,46438700,-0.021881838,teststra33,0,0.9328,0.906666667,0.001966667,0,0,0
2010/12/31,0.89,0.92,0.89,0.92,40.48,44858500,0.029082774,teststra33,0,0.9304,0.907766667,0.001966667,0,0,0
2011/1/4,0.928,0.946,0.914,0.938,40.12,43215400,0.019565217,teststra33,0,0.9313,0.9097,0.001966667,0,0,0
2011/1/5,0.931,0.935,0.92,0.921,22.65,24494400,-0.018123667,teststra33,0,0.9266,0.912133333,0.001966667,0,0,0
2011/1/6,0.919,0.931,0.912,0.912,16.46,17921800,-0.009771987,teststra33,0,0.9226,0.912933333,0.001966667,0,0,0
2011/1/7,0.914,0.949,0.908,0.922,58.1,62340100,0.010964912,teststra33,0,0.9195,0.913766667,0.001966667,0,0,0
2011/1/10,0.922,0.933,0.898,0.9,27.83,30413400,-0.023861171,teststra33,0,0.9149,0.914166667,0.001966667,0,0,0
2011/1/11,0.899,0.91,0.89,0.908,13.49,14952600,0.008888889,teststra33,0,0.9138,0.9151,0.001966667,0,0,0
2011/1/12,0.912,0.919,0.897,0.915,16.26,17900100,0.007709251,teststra33,0,0.9144,0.917,0.001966667,0,0,0
2011/1/13,0.92,0.924,0.908,0.912,12.65,13849100,-0.003278689,teststra33,0,0.9142,0.919,0.001966667,0,0,0
2011/1/14,0.905,0.908,0.889,0.89,17.24,19229600,-0.024122807,teststra33,0,0.9138,0.9196,0.001966667,0,0,0
2011/1/17,0.882,0.884,0.842,0.848,25.42,29535500,-0.047191011,teststra33,0,0.9066,0.919066667,0.001966667,0,0,0
2011/1/18,0.846,0.855,0.84,0.85,7.42,8757100,0.002358491,teststra33,0,0.8978,0.918266667,0.001966667,0,0,0
2011/1/19,0.846,0.88,0.846,0.875,19.19,22227200,0.029411765,teststra33,0,0.8932,0.9176,0.001966667,0,0,0
2011/1/20,0.873,0.875,0.826,0.826,24.06,28546100,-0.056,teststra33,0,0.8846,0.915466667,0.001966667,0,0,0
2011/1/21,0.827,0.856,0.823,0.838,19.85,23654000,0.014527845,teststra33,0,0.8762,0.914633333,0.001966667,0,0,0
2011/1/24,0.834,0.839,0.8,0.806,27.3,33450800,-0.038186158,teststra33,0,0.8668,0.912,0.001966667,0,0,0
2011/1/25,0.805,0.815,0.796,0.809,15.43,19069900,0.003722084,teststra33,0,0.8569,0.9071,0.001966667,0,0,0
2011/1/26,0.809,0.83,0.808,0.825,11.3,13762400,0.019777503,teststra33,0,0.8479,0.901933333,0.001966667,0,0,0
2011/1/27,0.817,0.845,0.809,0.841,17.3,20814100,0.019393939,teststra33,0,0.8408,0.898,0.001966667,0,0,0
2011/1/28,0.836,0.847,0.834,0.843,11.19,13321500,0.002378121,teststra33,0,0.8361,0.894233333,0.001966667,0,0,0
2011/1/31,0.848,0.854,0.838,0.847,11.59,13712000,0.004744958,teststra33,0,0.836,0.891,0.001966667,0,0,0
2011/2/1,0.847,0.851,0.838,0.841,8.05,9561500,-0.007083825,teststra33,0,0.8351,0.888066667,0.001966667,0,0,0
2011/2/9,0.835,0.843,0.817,0.818,11.37,13709900,-0.027348395,teststra33,0,0.8294,0.883066667,0.001966667,0,0,0
2011/2/10,0.815,0.872,0.815,0.872,25.2,29877000,0.06601467,teststra33,0,0.834,0.8804,0.001966667,0,0,0
2011/2/11,0.869,0.888,0.861,0.88,30.81,35171400,0.009174312,teststra33,0,0.8382,0.877966667,0.001966667,0,0,0
2011/2/14,0.883,0.947,0.883,0.942,69.24,74893900,0.070454545,teststra33,0,0.8518,0.877833333,0.001966667,0,0,0
2011/2/15,0.945,0.965,0.94,0.94,47.04,49475400,-0.002123142,teststra33,0,0.8649,0.878533333,0.001966667,0,0,0
2011/2/16,0.937,0.958,0.931,0.955,35.31,37325600,0.015957447,teststra33,0,0.8779,0.880066667,0.001966667,0,0,0
2011/2/17,0.955,0.961,0.933,0.949,36.98,38995400,-0.006282723,teststra33,0,0.8887,0.881233333,0.001966667,0,0,0
2011/2/18,0.944,0.944,0.921,0.932,20.54,22000300,-0.017913593,teststra33,0,0.8976,0.8825,0.001966667,0,0,0
2011/2/21,0.926,0.975,0.926,0.975,41.06,43180000,0.046137339,teststra33,0,0.9104,0.884333333,0.001966667,0,0,0
2011/2/22,0.975,0.978,0.921,0.928,62.16,66236300,-0.048205128,teststra33,0,0.9191,0.884,0.001966667,0,0,0
2011/2/23,0.924,0.939,0.922,0.932,23.16,24885200,0.004310345,teststra33,0,0.9305,0.884366667,0.001966667,0,0,0
2011/2/24,0.929,0.941,0.919,0.93,18.59,19997800,-0.002145923,teststra33,0,0.9363,0.884966667,0.001966667,0,0,0
2011/2/25,0.926,0.943,0.918,0.934,21.11,22650600,0.004301075,teststra33,0,0.9417,0.885366667,0.001966667,0,0,0
2011/2/28,0.934,0.968,0.928,0.965,34.58,36368400,0.033190578,teststra33,0,0.944,0.887533333,0.001966667,0,0,0
2011/3/1,0.965,0.998,0.961,0.988,56.44,57476400,0.023834197,teststra33,0,0.9488,0.8902,0.001966667,0,0,0
2011/3/2,0.976,0.984,0.949,0.983,41.88,43181700,-0.005060729,teststra33,0,0.9516,0.892466667,0.001966667,0,0,0
2011/3/3,0.982,0.996,0.964,0.964,34.38,34952500,-0.019328586,teststra33,0,0.9531,0.8942,0.001966667,0,0,0
2011/3/4,0.965,0.994,0.96,0.993,33.77,34540000,0.030082988,teststra33,0,0.9592,0.897633333,0.001966667,0,0,0
2011/3/7,1,1.029,1,1.024,48.33,47468800,0.03121853,teststra33,0,0.9641,0.9035,0.001966667,0,0,0
2011/3/8,1.02,1.032,1.015,1.027,31.96,31247700,0.002929687,teststra33,0,0.974,0.9094,0.001966667,0,0,0
2011/3/9,1.035,1.04,1.018,1.033,36.2,35104000,0.005842259,teststra33,0,0.9841,0.914666667,0.001966667,0,0,0
2011/3/10,1.022,1.022,0.998,0.998,35.24,34942800,-0.033881897,teststra33,0,0.9909,0.9204,0.001966667,0,0,0
2011/3/11,0.994,1.008,0.955,0.972,48.18,49045800,-0.026052104,teststra33,0,0.9947,0.924866667,0.001966667,0,0,0
